GAME_NAME,GENRE
Motto Hayaku! Seikaku Ni! Suu Sense Keisan Ryuoku Up Training - SuuTore,Misc
CSI: Fatal Conspiracy,Adventure
Rumble Roses XX,Fighting
"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki",Action
Drama Queens,Misc
Phantom Crash,Simulation
Sega Smash Pack,Misc
Dreamer Series: Teacher,Simulation
Ojyousama Express,Strategy
Pro Yakyuu Netsu Star 2006,Sports
Infinite Loop: Kojjou ga Miseta Yume,Adventure
Dark Souls II,Role-Playing
Pawly Pets: My Pet Hotel,Simulation
Famicom Mini: Mario Bros.,Platform
Tony Hawks Underground 2 Remix,Sports
NCAA GameBreaker 2000,Sports
Tatsunoko vs. Capcom: Cross Generation of Heroes,Fighting
Bomberman 64,Puzzle
Disney's Treasure Planet,Action
Brian Lara 2007 Pressure Play,Sports
SingStar Rocks!,Misc
Minna no DS Seminar: Kanpeki Kanji Ryoku,Misc
Great Edo Blacksmith,Adventure
Sallys Salon,Simulation
RIGS: Mechanized Combat League,Action
MotoGP 10/11,Racing
Tiger Woods PGA Tour 2003,Sports
Ratchet & Clank Collection,Action
Pac-Man: Adventures in Time,Fighting
Crazy Taxi 2,Racing
EyeToy: AntiGrav,Sports
Lernerfolg Vorschule: Captn Sharky,Misc
Gudetama: Hanjuku de Tanomuwa,Action
Amnesia Later,Misc
My Healthy Cooking Coach,Simulation
Ultra Street Fighter IV,Fighting
Warriors Orochi 3,Action
God of War: Origins Collection,Action
Terraria,Action
Darkwatch,Shooter
Diary Girl,Misc
The King of Fighters Collection: The Orochi Saga (JP sales),Fighting
Monster Trux Offroad,Racing
Jampack Summer 99,Misc
Alien Hominid,Shooter
Total War Collection,Misc
Imagine: Babysitters,Simulation
NBA Ballers,Sports
The Legend of Heroes: Trails in the Sky Second Chapter,Role-Playing
Flowers: Autumn Story,Adventure
Chocobo no Fushigi Dungeon,Role-Playing
Active Life: Extreme Challenge,Sports
Worms 2,Strategy
Harvest Moon 64,Simulation
Star Fighter,Shooter
FIFA Soccer 11,Sports
Real World Golf,Sports
GunParade Orchestra: Midori no Shou,Adventure
The Sims 2: Apartment Pets,Simulation
NHL Blades of Steel 99,Sports
Battle Assault 3 featuring Gundam Seed,Action
Plants vs. Zombies,Strategy
Command & Conquer: The First Decade,Strategy
Yo-Kai Sangokushi,Strategy
EA Sports Active: More Workouts,Sports
Gitaroo Man Lives!,Misc
Jam Sessions 2,Misc
Taiko no Tatsujin: Wii U Version!,Misc
Littlest Pet Shop: Country Friends,Simulation
Paws & Claws: Pet Resort,Simulation
Toy Story 2: Buzz Lightyear to the Rescue!,Platform
Project V6,Strategy
Krazy Ivan,Simulation
Xenosaga I\xc2\xb7II,Role-Playing
Phantasy Star Online Episode III: C.A.R.D. Revolution,Role-Playing
Fighter Destiny 2,Fighting
PGA European Tour,Sports
Horse Life,Simulation
Army Men: Air Attack,Action
Aliens versus Predator: Extinction,Strategy
Amagoushi no Yakata,Adventure
Ben 10 Triple Pack,Misc
Carol Vordermans Sudoku,Puzzle
GachiTora! Abarenbou Kyoushi in High School,Action
Mana Khemia 2: Fall of Alchemy,Role-Playing
Bionicle,Action
BeatMania IIDX 16: Empress + Premium Best,Simulation
The Sims: Complete Collection,Simulation
Rogue Trip: Vacation 2012,Racing
Psi-Ops: The Mindgate Conspiracy,Shooter
The Wonderful 101,Action
NASCAR 2011: The Game,Racing
Kirarin * Revolution: Minna de Odorou Furi Furi Debut!,Simulation
Koihime Enbu,Fighting
CandyLand / Chutes & Ladders / Memory,Misc
Puyo Puyo Chronicle,Action
Kangaroo,Platform
Shin Megami Tensei: Devil Summoner,Role-Playing
Utawarerumono: Itsuwari no Kamen,Adventure
Yu-Gi-Oh: Duel Monsters 4,Role-Playing
Dragon Ball: Daimaou Fukkatsu,Role-Playing
We Sing Pop!,Misc
Monster Truck Madness 64,Racing
Lode Runner,Puzzle
Disney's Magical Quest 3 Starring Mickey and Donald,Action
Brunswick Circuit Pro Bowling,Sports
Ben 10 Omniverse 2,Action
Moto Racer Advance,Racing
My DoItAll,Misc
Dream Trigger 3D,Shooter
Finny the Fish & the Seven Waters,Sports
Terminator 3: The Redemption,Shooter
The Incredible Hulk: The Pantheon Saga,Action
Xbox Live Arcade Unplugged Volume 1,Misc
Ore wa Shoujo Mangaka,Action
Persona 2: Eternal Punishment,Role-Playing
Captain Tsubasa: Aratanaru Densetsu Joshou,Sports
Agatha Christie: Evil Under the Sun,Adventure
WCW Backstage Assault,Action
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8,Misc
Jikkyou Powerful Pro Yakyuu 97 Kaimakuban,Sports
Jewel Quest Mysteries,Puzzle
Deer Drive: Legends,Action
The Sims 3: High-End Loft Stuff,Simulation
Die Hard Trilogy,Shooter
Ratchet & Clank: Up Your Arsenal (Weekly american sales),Platform
Sphinx and the Cursed Mummy,Action
Schlag den Raa,Misc
Jikkyou Powerful Pro Yakyuu Portable 2,Sports
Magi: Aratanaru Sekai,Role-Playing
Etrian Odyssey III: The Drowned City,Role-Playing
Grid Runner,Action
LMA Manager 2007,Sports
Drakan: The Ancients Gates,Adventure
Borderlands 2,Shooter
Jampack: Summer 2003 (RP-M),Misc
Professional Fishermans Tour: Northern Hemisphere,Sports
Nichibutsu Arcade Classics,Misc
Lotus Challenge,Racing
Radirgy Noa Wii,Shooter
Living Legends: Frozen Beauty,Action
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 13: Shinseiki Evangelion - Yakusoku no Toki,Misc
Pokemon Sun/Moon,Role-Playing
Nihon Pro Mahjong Kishikai Kanshuu: Pro Ni Naru Mahjong DS,Misc
The Godfather (US & Others sales),Action
"Warhammer 40,000: Dawn of War: Soulstorm",Strategy
PC Engine Best Collention: Ginga Ojousama Densetsu Collection,Adventure
Valkyrie Profile: Lenneth,Role-Playing
Pictionary: Ultimate Edition,Misc
Cabelas Dangerous Hunts 2009,Sports
Paris-Dakar Rally,Racing
Silent Hunter: Wolves of the Pacific,Simulation
Chaos Legion,Action
Ukiyo no Shishi,Action
Rock Blast,Puzzle
MLB 07: The Show,Sports
Power Gig: Rise of the SixString,Misc
\xc2\xa1Shin Chan Flipa en colores!,Platform
Tomb Raider,Action
Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,Adventure
Looney Tunes: Acme Arsenal,Action
Family Fest presents: Movie Games,Action
Pucca Power Up,Platform
Candace Kanes Candy Factory,Action
"Go, Diego, Go! Safari Rescue",Adventure
Ashes Cricket 2009,Sports
Duke Nukem Forever,Shooter
Dead Rising 3,Action
Extreme Pinball,Misc
Transformers: War for Cybertron -- Decepticons,Action
Resident Evil: Value Pack,Adventure
SBK: Snowboard Kids,Sports
Gundam Battle Assault,Fighting
Casper,Adventure
WCW vs. nWo: World Tour,Fighting
The Bachelor: The Videogame,Misc
Crimson Sea 2,Action
Ben 10 Alien Force: Vilgax Attacks,Action
Face Racers: Photo Finish,Racing
Dream Club Zero Portable,Simulation
Porsche Challenge,Racing
Big Bass Fishing,Action
Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,Simulation
Center Ring Boxing,Fighting
Asterix & Obelix: Kick Buttix,Action
Mortal Kombat: Armageddon,Fighting
True Pinball,Misc
UN Squadron,Shooter
Maximo: Ghosts to Glory,Platform
Virtua Fighter 4,Fighting
Ochaken no Daibouken 2: Yume Ippai no Omocha Hako,Simulation
Juusanshi Engi Engetsu Sangokuden 2,Action
International Superstar Soccer,Sports
No Fear Downhill Mountain Biking,Sports
M&Ms Kart Racing,Racing
Itadaki Street DS,Misc
Michael Jackson: The Experience,Misc
Style Savvy: Trendsetters,Simulation
Major League Baseball 2K11,Sports
Summon Night 4,Role-Playing
Bahamut Lagoon,Role-Playing
Madden NFL 10,Sports
Card Fight!! Vanguard G: Stride to Victory!!,Misc
Total War Attila: Tyrants & Kings,Strategy
Sam & Max: Season One,Adventure
Chousoku Henkei Gyrozetter: Albatross no Tsubasa,Role-Playing
Conflict: Global Terror,Shooter
Madden NFL 15,Sports
Misshitsu no Sacrifice,Adventure
Warhammer: Dark Omen,Strategy
Silent Hill 2,Action
Hunter x Hunter: Wonder Adventure,Action
Fast Racing Neo ,Action
NCAA March Madness 07,Sports
Initial D: Street Stage,Racing
New Prince of Tennis: Go to the Top,Action
Lifeline,Adventure
Tokyo Xanadu,Role-Playing
Saigo no Yakusoku no Monogatari,Role-Playing
Sotsugyou II: Neo Generation Special,Simulation
Test Drive,Racing
Tenchu: Wrath of Heaven,Action
Goat Simulator,Simulation
Resident Evil: Outbreak,Action
NBA 2K8,Sports
Popn TwinBee: Rainbow Bell Adventure,Platform
Aliens: Colonial Marines,Shooter
BioShock 2,Shooter
Kamiwaza,Action
Rainbow Islands: Revolution,Action
Dreamcast Collection,Misc
Super Real Mahjong P V,Misc
American Chopper 2: Full Throttle,Racing
Bust-A-Move Bash!,Puzzle
MechWarrior 2: 31st Century Combat,Simulation
Raven Squad: Operation Hidden Dagger,Shooter
The BIGS,Sports
Painkiller: Hell & Damnation,Shooter
Croc 2,Platform
Lionel Trains: On Track,Action
Wizardry: Llylgamyn Saga,Role-Playing
Just Dance Kids,Misc
Folklore,Role-Playing
Minna no Ennichi,Action
Wario World,Platform
Shadow Ops: Red Mercury,Shooter
Saturn Bomberman,Puzzle
Guitar Hero Live,Misc
Marvel vs. Capcom Origins,Fighting
E.T.: The Extra Terrestrial,Action
Project: Snowblind,Action
"Ni Hao, Kai-lan: Super Game Day",Misc
Yu-Gi-Oh! GX: Spirit Caller (Japan Sales),Misc
Dark Arena,Shooter
Wallace & Gromit: Curse of the Were-Rabbit,Adventure
Exhibition Volume 5,Misc
Need for Speed Underground 2,Racing
Yoostar2,Misc
Rock Band Country Track Pack 2,Misc
Allied General,Strategy
NARC,Shooter
Atelier Totori: The Adventurer of Arland,Role-Playing
Genji Koi Emaki,Action
Cosmos Chaos!,Misc
Sakura Taisen Hanagumi Tsuushin,Misc
Sword Art Online: Lost Song,Role-Playing
Over the Hedge,Platform
Micro Machines V3,Racing
Alone in the Dark,Adventure
Forza Motorsport 3: Ultimate Edition,Racing
Downstream Panic!,Action
Air Traffic Chaos,Simulation
Samurai Champloo: Sidetracked,Action
EverQuest II: Destiny of Velious,Role-Playing
Cabelas African Safari,Sports
