GAME_NAME,PLATFORM,PUBLISHER
Assassins Creed,X360,Ubisoft
Forza Motorsport 3,X360,Microsoft Game Studios
Super Mario Advance,GBA,Nintendo
Batman: Arkham City,PS3,Warner Bros. Interactive Entertainment
Monster Hunter Freedom Unite,PSP,Capcom
Mario Kart: Super Circuit,GBA,Nintendo
Super Mario World,GBA,Nintendo
Pokemon Stadium,N64,Nintendo
Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive
Minecraft,PS3,Sony Computer Entertainment
Call of Duty: World at War,PS3,Activision
Tomodachi Life,3DS,Nintendo
Dr. Mario,G,Nintendo
Final Fantasy XIII,PS3,Square Enix
Pokemon Pinball,G,Nintendo
Final Fantasy IX,PS,SquareSoft
Battlefield 1,PS4,Electronic Arts
New Super Mario Bros. U,WiiU,Nintendo
Assassins Creed III,X360,Ubisoft
Final Fantasy X-2,PS2,Electronic Arts
Call of Duty: Advanced Warfare,XOne,Activision
Donkey Kong 64,N64,Nintendo
Assassins Creed II,X360,Ubisoft
Tomb Raider II,PS,Eidos Interactive
Madden NFL 2004,PS2,Electronic Arts
Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix
Super Mario Bros. 3,GBA,Nintendo
Professor Layton and the Curious Village,DS,Nintendo
Super Mario Land 3: Wario Land,G,Nintendo
FIFA Soccer 13,X360,Electronic Arts
Diablo III,PC,Activision
Donkey Kong Country 2: Diddys Kong Quest,SNES,Nintendo
Medal of Honor: Rising Sun,PS2,Electronic Arts
Kirbys Dream Land,G,Nintendo
Microsoft Flight Simulator,PC,Microsoft Game Studios
Guitar Hero II,PS2,RedOctane
Fable III,X360,Microsoft Game Studios
Mario & Sonic at the Olympic Games,DS,Sega
Resident Evil 5,PS3,Capcom
The Legend of Zelda: Phantom Hourglass,DS,Nintendo
FIFA Soccer 11,PS3,Electronic Arts
Super Mario Bros.,G,Nintendo
The Last of Us,PS4,Sony Computer Entertainment
Resident Evil,PS,Virgin Interactive
Grand Theft Auto: Vice City Stories,PSP,Take-Two Interactive
Tony Hawks Pro Skater,PS,Activision
Warzone 2100,PS,Eidos Interactive
Spyro the Dragon,PS,Sony Computer Entertainment
Guitar Hero III: Legends of Rock,PS2,Activision
Links Crossbow Training,Wii,Nintendo
Fallout 3,X360,Bethesda Softworks
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,Nintendo
Super Smash Bros. for Wii U and 3DS,WiiU,Nintendo
