GAME_NAME,PLATFORM,PUBLISHER,REGION,REGION_SALES
Call of Duty: Modern Warfare 2,X360,Activision,EU,3.6
Call of Duty: Modern Warfare 2,X360,Activision,JP,0.08
Call of Duty: Modern Warfare 2,X360,Activision,Other,1.28
Call of Duty: Modern Warfare 2,X360,Activision,NA,8.52
Grand Theft Auto V,PS4,Take-Two Interactive,EU,6.77
Grand Theft Auto V,PS4,Take-Two Interactive,JP,0.39
Grand Theft Auto V,PS4,Take-Two Interactive,Other,2.08
Grand Theft Auto V,PS4,Take-Two Interactive,NA,4.12
Call of Duty: Modern Warfare 3,PS3,Activision,EU,5.73
Call of Duty: Modern Warfare 3,PS3,Activision,JP,0.49
Call of Duty: Modern Warfare 3,PS3,Activision,Other,1.57
Call of Duty: Modern Warfare 3,PS3,Activision,NA,5.54
Grand Theft Auto III,PS2,Take-Two Interactive,EU,4.51
Grand Theft Auto III,PS2,Take-Two Interactive,JP,0.3
Grand Theft Auto III,PS2,Take-Two Interactive,Other,1.3
Grand Theft Auto III,PS2,Take-Two Interactive,NA,6.99
Mario Kart 7,3DS,Nintendo,EU,4.19
Mario Kart 7,3DS,Nintendo,JP,2.7
Mario Kart 7,3DS,Nintendo,Other,0.94
Mario Kart 7,3DS,Nintendo,NA,5.2
Super Smash Bros. Brawl,Wii,Nintendo,EU,2.56
Super Smash Bros. Brawl,Wii,Nintendo,JP,2.66
Super Smash Bros. Brawl,Wii,Nintendo,Other,1.01
Super Smash Bros. Brawl,Wii,Nintendo,NA,6.64
Call of Duty: Black Ops,PS3,Activision,EU,4.37
Call of Duty: Black Ops,PS3,Activision,JP,0.48
Call of Duty: Black Ops,PS3,Activision,Other,1.8
Call of Duty: Black Ops,PS3,Activision,NA,6.0
Animal Crossing: Wild World,DS,Nintendo,EU,3.45
Animal Crossing: Wild World,DS,Nintendo,JP,5.33
Animal Crossing: Wild World,DS,Nintendo,Other,0.86
Animal Crossing: Wild World,DS,Nintendo,NA,2.5
Halo 3,X360,Microsoft Game Studios,EU,2.81
Halo 3,X360,Microsoft Game Studios,JP,0.13
Halo 3,X360,Microsoft Game Studios,Other,1.21
Halo 3,X360,Microsoft Game Studios,NA,7.97
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,EU,3.64
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,JP,3.1
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,Other,0.76
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,NA,4.45
Super Mario 64,N64,Nintendo,EU,2.85
Super Mario 64,N64,Nintendo,JP,1.91
Super Mario 64,N64,Nintendo,Other,0.23
Super Mario 64,N64,Nintendo,NA,6.91
Pokemon HeartGold/Pokemon SoulSilver,DS,Nintendo,EU,2.71
Pokemon HeartGold/Pokemon SoulSilver,DS,Nintendo,JP,3.96
Pokemon HeartGold/Pokemon SoulSilver,DS,Nintendo,Other,0.76
Pokemon HeartGold/Pokemon SoulSilver,DS,Nintendo,NA,4.34
Gran Turismo 4,PS2,Sony Computer Entertainment,EU,0.01
Gran Turismo 4,PS2,Sony Computer Entertainment,JP,1.1
Gran Turismo 4,PS2,Sony Computer Entertainment,Other,7.53
Gran Turismo 4,PS2,Sony Computer Entertainment,NA,3.01
Pokemon Sun/Moon,3DS,Nintendo,EU,2.74
Pokemon Sun/Moon,3DS,Nintendo,JP,2.88
Pokemon Sun/Moon,3DS,Nintendo,Other,0.77
Pokemon Sun/Moon,3DS,Nintendo,NA,5.01
Super Mario Galaxy,Wii,Nintendo,EU,3.36
Super Mario Galaxy,Wii,Nintendo,JP,1.2
Super Mario Galaxy,Wii,Nintendo,Other,0.74
Super Mario Galaxy,Wii,Nintendo,NA,6.06
Super Mario Land 2: 6 Golden Coins,G,Nintendo,EU,2.04
Super Mario Land 2: 6 Golden Coins,G,Nintendo,JP,2.69
Super Mario Land 2: 6 Golden Coins,G,Nintendo,Other,0.29
Super Mario Land 2: 6 Golden Coins,G,Nintendo,NA,6.16
Grand Theft Auto IV,X360,Take-Two Interactive,EU,3.07
Grand Theft Auto IV,X360,Take-Two Interactive,JP,0.14
Grand Theft Auto IV,X360,Take-Two Interactive,Other,1.03
Grand Theft Auto IV,X360,Take-Two Interactive,NA,6.77
Gran Turismo,PS,Sony Computer Entertainment,EU,3.87
Gran Turismo,PS,Sony Computer Entertainment,JP,2.54
Gran Turismo,PS,Sony Computer Entertainment,Other,0.52
Gran Turismo,PS,Sony Computer Entertainment,NA,4.02
Super Mario 3D Land,3DS,Nintendo,EU,3.05
Super Mario 3D Land,3DS,Nintendo,JP,2.14
Super Mario 3D Land,3DS,Nintendo,Other,0.78
Super Mario 3D Land,3DS,Nintendo,NA,4.89
Gran Turismo 5,PS3,Sony Computer Entertainment,EU,4.82
Gran Turismo 5,PS3,Sony Computer Entertainment,JP,0.81
Gran Turismo 5,PS3,Sony Computer Entertainment,Other,2.11
Gran Turismo 5,PS3,Sony Computer Entertainment,NA,2.96
Call of Duty: Modern Warfare 2,PS3,Activision,EU,3.64
Call of Duty: Modern Warfare 2,PS3,Activision,JP,0.38
Call of Duty: Modern Warfare 2,PS3,Activision,Other,1.6
Call of Duty: Modern Warfare 2,PS3,Activision,NA,4.99
Super Mario All-Stars,SNES,Nintendo,EU,2.15
Super Mario All-Stars,SNES,Nintendo,JP,2.12
Super Mario All-Stars,SNES,Nintendo,Other,0.29
Super Mario All-Stars,SNES,Nintendo,NA,5.99
Grand Theft Auto IV,PS3,Take-Two Interactive,EU,3.7
Grand Theft Auto IV,PS3,Take-Two Interactive,JP,0.44
Grand Theft Auto IV,PS3,Take-Two Interactive,Other,1.61
Grand Theft Auto IV,PS3,Take-Two Interactive,NA,4.77
Pokemon FireRed/Pokemon LeafGreen,GBA,Nintendo,EU,2.65
