GAME_NAME,PLATFORM,PUBLISHER,YEAR_OF_RELEASE
Final Fantasy XII,PS2,Square Enix,2006
The Last of Us,PS3,Sony Computer Entertainment Europe,2013
LittleBigPlanet,PS3,Sony Computer Entertainment,2008
Resident Evil 2,PS,Virgin Interactive,1998
Call of Duty: Infinite Warfare,PS4,Activision,2016
Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,2009
Tekken 2,PS,Sony Computer Entertainment,1996
Grand Theft Auto V,XOne,Take-Two Interactive,2014
Destiny,PS4,Activision,2014
LEGO Star Wars: The Complete Saga,Wii,LucasArts,2007
Cooking Mama,DS,505 Games,2006
Tetris,NES,Nintendo,1988
Super Smash Bros.,N64,Nintendo,1999
Assassins Creed II,PS3,Ubisoft,2009
Assassins Creed,X360,Ubisoft,2007
Forza Motorsport 3,X360,Microsoft Game Studios,2009
Super Mario Advance,GBA,Nintendo,2001
Batman: Arkham City,PS3,Warner Bros. Interactive Entertainment,2011
Monster Hunter Freedom Unite,PSP,Capcom,2008
Mario Kart: Super Circuit,GBA,Nintendo,2001
Super Mario World,GBA,Nintendo,2001
Pokemon Stadium,N64,Nintendo,1999
Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,2001
Minecraft,PS3,Sony Computer Entertainment,2014
Call of Duty: World at War,PS3,Activision,2008
Tomodachi Life,3DS,Nintendo,2013
Dr. Mario,G,Nintendo,1989
Final Fantasy XIII,PS3,Square Enix,2009
Pokemon Pinball,G,Nintendo,1999
Final Fantasy IX,PS,SquareSoft,2000
Battlefield 1,PS4,Electronic Arts,2016
New Super Mario Bros. U,WiiU,Nintendo,2012
Assassins Creed III,X360,Ubisoft,2012
Final Fantasy X-2,PS2,Electronic Arts,2003
Call of Duty: Advanced Warfare,XOne,Activision,2014
Donkey Kong 64,N64,Nintendo,1999
Assassins Creed II,X360,Ubisoft,2009
Tomb Raider II,PS,Eidos Interactive,1997
Madden NFL 2004,PS2,Electronic Arts,2003
Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,2004
Super Mario Bros. 3,GBA,Nintendo,2003
Professor Layton and the Curious Village,DS,Nintendo,2007
Super Mario Land 3: Wario Land,G,Nintendo,1994
FIFA Soccer 13,X360,Electronic Arts,2012
Diablo III,PC,Activision,2012
